trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
500,0.6632,0.3681,15,0.6250,66.29,360,9.96,0.00,0,2800,377,377,389
1000,0.5892,0.4094,15,0.6250,66.24,364,9.96,0.01,5,2800,377,377,389
1500,0.6905,0.4255,15,0.6250,66.28,358,9.95,0.00,0,2800,377,377,389
2000,0.8405,0.4420,15,0.6250,66.21,363,9.96,0.00,0,2800,377,377,389
2500,0.6408,0.3906,15,0.6250,66.29,356,9.96,0.00,0,2800,377,377,389
3000,0.6100,0.4397,15,0.6250,66.15,361,9.97,0.00,0,2800,377,377,389
3500,0.8245,0.6189,15,0.6250,66.21,355,9.97,0.00,0,2800,379,379,392
4000,0.5969,0.3077,15,0.6250,66.27,359,9.96,0.00,0,2800,379,379,392
4500,0.6459,0.3722,15,0.6250,66.36,363,9.95,0.01,5,2800,379,379,392
5000,0.6955,0.5020,15,0.6250,66.16,356,9.96,0.00,0,2800,379,379,392
5500,0.6449,0.3013,15,0.6250,66.35,360,9.95,0.00,0,2800,379,379,392
6000,0.7520,0.5752,15,0.6250,66.09,364,9.96,0.00,0,2800,379,379,392
6500,0.7582,0.4364,15,0.6250,66.25,358,9.96,0.00,0,2800,379,379,392
7000,0.6750,0.3657,15,0.6250,66.25,362,9.96,0.00,0,2800,379,379,392
7500,0.8188,0.4993,15,0.6250,66.18,356,9.96,0.00,0,2800,379,379,392
8000,0.5337,0.3146,15,0.6250,66.21,360,9.96,0.00,0,2800,379,379,392
8500,0.7850,0.3716,15,0.6250,66.19,364,9.97,0.00,0,2800,379,379,392
9000,0.6428,0.3048,15,0.6250,66.15,358,9.96,0.00,0,2800,379,379,392
9500,0.6496,0.4110,15,0.6250,66.37,361,9.97,0.00,0,2800,379,379,392
10000,0.6576,0.3613,15,0.6250,66.25,355,9.95,0.00,0,2800,379,379,392
10500,0.7558,0.2652,15,0.6250,66.33,359,9.98,0.00,0,2800,379,379,392
11000,0.6799,0.4419,15,0.6250,66.22,363,9.97,0.00,0,2800,379,379,392
11500,0.5791,0.3688,15,0.6250,66.38,357,9.94,0.00,0,2800,379,379,392
12000,0.5757,0.3242,15,0.6250,66.21,361,9.97,0.01,5,2800,379,379,392
12500,0.6973,0.5040,15,0.6250,66.18,355,9.98,0.00,0,2800,379,379,392
13000,0.5840,0.4086,15,0.6250,66.17,359,9.95,0.00,0,2800,379,379,392
13500,0.7133,0.5812,15,0.6250,66.38,363,9.95,0.00,0,2800,379,379,392
