trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
500,0.6050,0.1396,15,0.6250,66.30,362,9.96,0.02,6,2800,399,399,13
1000,0.4825,0.2765,15,0.6250,66.27,357,9.96,0.01,6,2800,401,401,18
1500,0.6128,0.3119,15,0.6250,66.23,362,9.98,0.01,6,2800,403,403,22
2000,0.6342,0.2920,15,0.6250,66.33,357,9.96,0.03,6,2800,404,404,28
2500,0.7531,0.2541,15,0.6250,66.20,362,9.97,0.01,6,2800,405,405,31
3000,0.6930,0.3243,15,0.6250,66.28,357,9.96,0.01,6,2800,407,407,41
3500,0.6948,0.2933,15,0.6250,66.19,361,9.97,0.01,6,2800,407,407,52
4000,0.6219,0.1513,15,0.6250,66.41,356,9.96,0.01,5,2800,408,408,61
4500,0.6460,0.3109,15,0.6250,66.34,361,9.95,0.01,6,2800,409,409,67
5000,0.5656,0.2530,15,0.6250,66.27,356,9.97,0.01,6,2800,411,411,75
5500,0.6176,0.1316,15,0.6250,66.33,361,9.96,0.01,6,2800,412,412,84
6000,0.6571,0.1629,15,0.6250,66.32,356,9.97,0.01,6,2800,412,412,92
6500,0.6038,0.2302,15,0.6250,66.36,361,9.95,0.01,6,2800,413,413,104
7000,0.5713,0.3314,15,0.6250,66.21,356,9.96,0.00,0,2800,414,414,113
7500,0.5572,0.2816,15,0.6250,66.34,360,9.97,0.01,6,2800,415,415,124
8000,0.5942,0.2546,15,0.6250,66.29,355,9.97,0.01,5,2800,416,416,129
8500,0.6140,0.2646,15,0.6250,66.32,360,9.97,0.00,0,2800,416,416,135
9000,0.7226,0.1701,15,0.6250,66.25,355,9.96,0.01,6,2800,417,417,145
9500,0.8640,0.4195,15,0.6250,66.25,360,9.96,0.01,6,2800,418,418,152
10000,0.5116,0.1435,15,0.6250,66.34,355,9.96,0.01,6,2800,418,418,165
10500,0.5965,0.2656,15,0.6250,66.30,360,9.97,0.01,6,2800,419,419,179
11000,0.5569,0.2761,15,0.6250,66.32,355,9.97,0.03,6,2800,420,420,181
11500,0.5456,0.2206,15,0.6250,66.33,360,9.96,0.01,6,2800,421,421,187
12000,0.6023,0.3680,15,0.6250,66.25,355,9.96,0.00,0,2800,421,421,191
12500,0.5252,0.1289,15,0.6250,66.25,360,9.96,0.01,6,2800,421,421,196
13000,0.5382,0.2556,15,0.6250,66.20,355,9.96,0.01,5,2800,421,421,202
13500,0.6902,0.4190,15,0.6250,66.30,359,9.96,0.01,6,2800,421,421,209
14000,0.6228,0.3218,15,0.6250,66.28,364,9.95,0.01,6,2800,421,421,217
14500,0.7293,0.3873,15,0.6250,66.29,359,9.96,0.01,6,2800,421,421,223
15000,0.6383,0.1085,15,0.6250,66.30,364,9.95,0.01,6,2800,421,421,234
15500,0.6254,0.2836,15,0.6250,66.38,359,9.96,0.01,6,2800,421,421,239
16000,0.5303,0.1270,15,0.6250,66.31,364,9.96,0.01,6,2800,421,421,251
16500,0.6439,0.3978,15,0.6250,66.34,359,9.96,0.01,6,2800,422,422,260
17000,0.5879,0.2572,15,0.6250,66.28,364,9.96,0.01,6,2800,422,422,265
17500,0.5703,0.1956,15,0.6250,66.30,359,9.96,0.01,6,2800,423,423,274
18000,0.4802,0.1528,15,0.6250,66.29,364,9.97,0.01,6,2800,423,423,280
18500,0.5517,0.2928,15,0.6250,66.17,359,9.98,0.01,6,2800,423,423,289
19000,0.5837,0.2683,15,0.6250,66.32,364,9.95,0.01,6,2800,423,423,292
19500,0.6275,0.2072,15,0.6250,66.28,358,9.97,0.03,6,2800,423,423,293
20000,0.5783,0.2283,15,0.6250,66.25,363,9.96,0.01,5,2800,423,423,296
20500,0.6537,0.4162,15,0.6250,66.29,358,9.96,0.01,6,2800,423,423,309
21000,0.5962,0.2597,15,0.6250,66.19,363,9.98,0.01,6,2800,423,423,316
21500,0.6749,0.3780,15,0.6250,66.25,358,9.97,0.01,6,2800,424,424,326
22000,0.6479,0.2352,15,0.6250,66.22,363,9.96,0.01,6,2800,424,424,333
22500,0.6424,0.3196,15,0.6250,66.22,358,9.97,0.01,6,2800,424,424,339
23000,0.6656,0.2752,15,0.6250,66.31,363,9.96,0.01,6,2800,424,424,340
23500,0.6693,0.3017,15,0.6250,66.29,358,9.96,0.01,6,2800,424,424,345
24000,0.6378,0.2900,15,0.6250,66.27,363,9.96,0.00,0,2800,424,424,353
24500,0.6034,0.2426,15,0.6250,66.19,358,9.97,0.03,6,2800,424,424,359
25000,0.7138,0.1648,15,0.6250,66.37,363,9.96,0.01,6,2800,424,424,364
25500,0.7648,0.0965,15,0.6250,66.25,358,9.96,0.04,6,2800,424,424,369
26000,0.6539,0.2880,15,0.6250,66.39,362,9.96,0.01,6,2800,424,424,376
26500,0.6151,0.3243,15,0.6250,66.20,357,9.98,0.00,0,2800,424,424,387
27000,0.6776,0.3045,15,0.6250,66.34,362,9.96,0.01,6,2800,424,424,390
27500,0.5505,0.2229,15,0.6250,66.16,357,9.97,0.01,6,2800,424,424,403
28000,0.6271,0.2464,15,0.6250,66.33,362,9.96,0.01,6,2800,425,425,416
28500,0.4759,0.1502,15,0.6250,66.31,357,9.96,0.04,6,2800,425,425,431
29000,0.4838,0.1871,15,0.6250,66.33,362,9.96,0.02,5,2800,425,425,442
29500,0.5310,0.1845,15,0.6250,66.30,357,9.96,0.01,6,2800,426,426,455
30000,0.5923,0.2281,15,0.6250,66.31,362,9.96,0.01,6,2800,426,426,463
30500,0.6242,0.2797,15,0.6250,66.16,357,9.97,0.01,6,2800,426,426,467
31000,0.6366,0.2774,15,0.6250,66.33,362,9.97,0.01,6,2800,426,426,476
31500,0.6862,0.2358,15,0.6250,66.26,357,9.96,0.01,6,2800,426,426,485
32000,0.7751,0.3100,15,0.6250,66.28,362,9.96,0.01,6,2800,426,426,490
32500,0.6847,0.3096,15,0.6250,66.20,357,9.96,0.01,6,2800,426,426,503
33000,0.6121,0.2625,15,0.6250,66.35,361,9.96,0.01,6,2800,427,427,507
33500,0.5796,0.3159,15,0.6250,66.30,356,9.96,0.01,6,2800,427,427,513
34000,0.5535,0.1153,15,0.6250,66.42,361,9.96,0.01,5,2800,427,427,515
34500,0.6302,0.2087,15,0.6250,66.20,356,9.97,0.01,6,2800,427,427,518
35000,0.5555,0.1245,15,0.6250,66.46,361,9.97,0.01,5,2800,427,427,524
35500,0.7644,0.3364,15,0.6250,66.25,356,9.96,0.01,6,2800,427,427,531
36000,0.5447,0.2564,15,0.6250,66.39,361,9.96,0.01,6,2800,427,427,538
36500,0.5855,0.2588,15,0.6250,66.32,356,9.95,0.01,6,2800,427,427,552
37000,0.5307,0.2650,15,0.6250,66.33,361,9.97,0.03,6,2800,427,427,555
37500,0.6030,0.1963,15,0.6250,66.24,355,9.97,0.01,6,2800,427,427,562
38000,0.6676,0.3201,15,0.6250,66.29,360,9.97,0.00,0,2800,427,427,563
38500,0.6040,0.2249,15,0.6250,66.22,355,9.96,0.01,6,2800,427,427,573
39000,0.6916,0.3854,15,0.6250,66.23,360,9.96,0.01,6,2800,427,427,582
39500,0.6241,0.1534,15,0.6250,66.25,355,9.96,0.04,6,2800,427,427,589
40000,0.6503,0.1508,15,0.6250,66.22,360,9.96,0.03,6,2800,427,427,595
40500,0.5846,0.2649,15,0.6250,66.35,364,9.96,0.03,6,2800,427,427,603
41000,0.6136,0.3118,15,0.6250,66.32,359,9.96,0.00,0,2800,427,427,611
41500,0.6464,0.1864,15,0.6250,66.36,364,9.96,0.01,6,2800,427,427,616
42000,0.5652,0.1852,15,0.6250,66.28,359,9.97,0.01,6,2800,427,427,620
42500,0.6227,0.1996,15,0.6250,66.36,364,9.96,0.01,6,2800,428,428,633
43000,0.6853,0.2120,15,0.6250,66.31,359,9.96,0.01,6,2800,428,428,641
43500,0.5860,0.2859,15,0.6250,66.46,364,9.95,0.01,6,2800,428,428,649
44000,0.6746,0.4152,15,0.6250,66.30,359,9.96,0.01,6,2800,428,428,664
44500,0.5671,0.2376,15,0.6250,66.22,363,9.96,0.01,6,2800,428,428,672
45000,0.6454,0.2673,15,0.6250,66.17,358,9.97,0.00,0,2800,428,428,677
45500,0.6731,0.1778,15,0.6250,66.20,363,9.96,0.01,6,2800,428,428,680
46000,0.6379,0.2497,15,0.6250,66.22,358,9.96,0.01,6,2800,428,428,686
46500,0.6815,0.2841,15,0.6250,66.30,363,9.95,0.01,6,2800,428,428,696
47000,0.6587,0.3833,15,0.6250,66.29,358,9.96,0.00,0,2800,428,428,703
47500,0.5498,0.2105,15,0.6250,66.34,363,9.96,0.01,6,2800,428,428,707
48000,0.5147,0.2659,15,0.6250,66.36,358,9.96,0.03,6,2800,428,428,719
48500,0.5905,0.3806,15,0.6250,66.34,363,9.96,0.00,0,2800,428,428,728
49000,0.6217,0.2453,15,0.6250,66.40,358,9.95,0.00,0,2800,428,428,739
49500,0.6512,0.2651,15,0.6250,66.33,363,9.96,0.01,6,2800,428,428,742
50000,0.6664,0.2105,15,0.6250,66.30,358,9.96,0.01,6,2800,428,428,755
50500,0.5391,0.2085,15,0.6250,66.43,363,9.95,0.01,6,2800,428,428,762
51000,0.6324,0.4281,15,0.6250,66.30,358,9.95,0.01,6,2800,428,428,769
51500,0.5564,0.3269,15,0.6250,66.43,362,9.96,0.01,6,2800,428,428,780
52000,0.6220,0.0900,15,0.6250,66.30,357,9.96,0.01,6,2800,428,428,785
52500,0.6674,0.2555,15,0.6250,66.37,362,9.96,0.03,6,2800,428,428,791
53000,0.7093,0.1303,15,0.6250,66.27,357,9.98,0.01,6,2800,428,428,797
53500,0.6283,0.1323,15,0.6250,66.29,362,9.97,0.01,6,2800,428,428,802
54000,0.6440,0.3193,15,0.6250,66.26,357,9.97,0.00,0,2800,428,428,807
54500,0.7234,0.3276,15,0.6250,66.28,362,9.96,0.01,6,2800,428,428,816
55000,0.6267,0.3363,15,0.6250,66.31,357,9.96,0.01,6,2800,429,429,825
55500,0.5082,0.2229,15,0.6250,66.22,362,9.97,0.01,6,2800,429,429,830
56000,0.5741,0.2356,15,0.6250,66.25,357,9.97,0.01,6,2800,429,429,841
56500,0.7344,0.2385,15,0.6250,66.17,362,9.98,0.01,6,2800,429,429,847
57000,0.7080,0.2095,15,0.6250,66.26,357,9.96,0.01,6,2800,429,429,855
57500,0.6893,0.2706,15,0.6250,66.34,362,9.95,0.03,6,2800,429,429,857
58000,0.5524,0.2531,15,0.6250,66.33,357,9.96,0.01,6,2800,429,429,866
58500,0.5750,0.2097,15,0.6250,66.39,362,9.96,0.01,6,2800,429,429,872
59000,0.6040,0.2755,15,0.6250,66.35,356,9.96,0.01,6,2800,429,429,877
59500,0.5828,0.2821,15,0.6250,66.28,361,9.97,0.01,6,2800,429,429,884
60000,0.5697,0.1923,15,0.6250,66.28,356,9.96,0.01,6,2800,429,429,893
60500,0.5385,0.1758,15,0.6250,66.23,361,9.97,0.01,6,2800,429,429,897
61000,0.6567,0.3030,15,0.6250,66.25,356,9.96,0.01,5,2800,429,429,908
61500,0.7286,0.3262,15,0.6250,66.22,361,9.96,0.03,6,2800,429,429,916
62000,0.6091,0.1933,15,0.6250,66.30,356,9.96,0.01,6,2800,429,429,928
62500,0.5857,0.1879,15,0.6250,66.28,361,9.96,0.04,6,2800,429,429,933
63000,0.5599,0.1797,15,0.6250,66.28,356,9.96,0.00,0,2800,429,429,936
63500,0.5481,0.1222,15,0.6250,66.25,360,9.97,0.01,6,2800,429,429,943
64000,0.6032,0.1339,15,0.6250,66.27,355,9.96,0.01,6,2800,430,430,953
64500,0.6239,0.1886,15,0.6250,66.30,360,9.96,0.01,6,2800,430,430,958
65000,0.5963,0.2088,15,0.6250,66.34,355,9.95,0.01,6,2800,430,430,966
65500,0.5941,0.1053,15,0.6250,66.29,360,9.96,0.01,6,2800,430,430,974
66000,0.4988,0.2411,15,0.6250,66.24,355,9.97,0.00,0,2800,430,430,986
66500,0.5952,0.3250,15,0.6250,66.29,360,9.96,0.01,6,2800,430,430,996
67000,0.6167,0.2786,15,0.6250,66.19,355,9.97,0.00,0,2800,430,430,1003
67500,0.6446,0.2833,15,0.6250,66.38,359,9.95,0.03,6,2800,430,430,1007
68000,0.6241,0.2195,15,0.6250,66.42,364,9.95,0.03,6,2800,430,430,1018
68500,0.5750,0.1755,15,0.6250,66.41,359,9.96,0.00,0,2800,430,430,1026
69000,0.5785,0.2334,15,0.6250,66.40,364,9.96,0.01,6,2800,430,430,1034
69500,0.6461,0.2668,15,0.6250,66.23,359,9.97,0.01,6,2800,431,431,1041
70000,0.5415,0.2290,15,0.6250,66.22,364,9.98,0.00,0,2800,431,431,1050
70500,0.5472,0.1234,15,0.6250,66.14,359,9.97,0.00,0,2800,431,431,1059
71000,0.7236,0.3417,15,0.6250,66.25,364,9.96,0.01,6,2800,431,431,1064
71500,0.6285,0.3124,15,0.6250,66.28,359,9.96,0.03,6,2800,431,431,1075
72000,0.6186,0.3040,15,0.6250,66.38,364,9.95,0.01,5,2800,431,431,1081
72500,0.6600,0.2710,15,0.6250,66.32,358,9.96,0.01,6,2800,431,431,1085
73000,0.5707,0.3128,15,0.6250,66.37,363,9.96,0.01,6,2800,431,431,1092
