trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
1000,0.5547,0.2643,12,0.7000,62.02,325,9.96,0.01,5,2800,382,382,410
2000,0.5235,0.2514,12,0.7000,62.04,324,9.96,0.00,0,2800,382,382,410
3000,0.6044,0.3057,12,0.7000,61.98,322,9.96,0.01,5,2800,382,382,410
4000,0.5668,0.2476,12,0.7000,62.09,330,9.96,0.00,0,2800,383,383,411
5000,0.5539,0.2654,12,0.7000,62.01,329,9.96,0.00,0,2800,383,383,411
6000,0.5818,0.2986,12,0.7000,62.05,327,9.96,0.00,0,2800,383,383,411
7000,0.5333,0.2855,12,0.7000,61.99,326,9.95,0.00,0,2800,383,383,411
8000,0.4657,0.2599,12,0.7000,61.96,324,9.97,0.00,0,2800,383,383,411
9000,0.5966,0.4050,12,0.7000,62.14,323,9.95,0.00,0,2800,383,383,411
10000,0.6411,0.3277,12,0.7000,61.94,322,9.97,0.00,0,2800,383,383,411
11000,0.7700,0.4612,12,0.7000,62.14,330,9.94,0.00,0,2800,383,383,411
12000,0.5376,0.3319,12,0.7000,62.01,329,9.97,0.01,5,2800,383,383,411
13000,0.6337,0.3173,12,0.7000,62.07,327,9.96,0.00,0,2800,383,383,411
14000,0.4794,0.2564,12,0.7000,62.04,326,9.97,0.00,0,2800,383,383,411
15000,0.6069,0.2002,12,0.7000,61.97,324,9.96,0.00,0,2800,383,383,411
16000,0.6080,0.1802,12,0.7000,62.09,322,9.96,0.00,0,2800,383,383,411
17000,0.5162,0.1996,12,0.7000,62.05,321,9.95,0.00,0,2800,383,383,411
18000,0.5748,0.1993,12,0.7000,62.01,330,9.96,0.00,0,2800,383,383,411
19000,0.6229,0.2444,12,0.7000,62.01,328,9.97,0.00,0,2800,383,383,411
20000,0.4737,0.2220,12,0.7000,61.96,326,9.96,0.00,0,2800,383,383,411
21000,0.5578,0.2834,12,0.7000,61.99,325,9.98,0.00,0,2800,383,383,411
22000,0.5556,0.2068,12,0.7000,61.92,324,9.96,0.01,5,2800,383,383,411
23000,0.4848,0.1141,12,0.7000,62.01,322,9.97,0.00,0,2800,383,383,411
24000,0.5679,0.2180,12,0.7000,62.01,321,9.95,0.01,5,2800,383,383,411
25000,0.4879,0.1902,12,0.7000,62.14,329,9.96,0.00,0,2800,383,383,411
26000,0.6094,0.1967,12,0.7000,61.99,328,9.98,0.00,0,2800,383,383,411
27000,0.5810,0.2061,12,0.7000,62.09,326,9.96,0.00,0,2800,383,383,411
28000,0.5171,0.1790,12,0.7000,61.91,325,9.97,0.00,0,2800,383,383,411
29000,0.5430,0.2184,12,0.7000,62.09,324,9.93,0.00,0,2800,383,383,411
30000,0.6335,0.3408,12,0.7000,62.04,322,9.97,0.01,5,2800,384,384,412
31000,0.5559,0.2647,12,0.7000,62.02,330,9.96,0.00,0,2800,384,384,412
32000,0.6054,0.3338,12,0.7000,62.05,329,9.97,0.00,0,2800,384,384,412
33000,0.4044,0.1751,12,0.7000,61.98,327,9.97,0.00,0,2800,384,384,412
34000,0.5693,0.2664,12,0.7000,62.07,326,9.95,0.00,0,2800,384,384,412
35000,0.5490,0.3436,12,0.7000,62.08,325,9.95,0.01,5,2800,384,384,412
36000,0.5444,0.2472,12,0.7000,62.02,323,9.95,0.00,0,2800,384,384,412
37000,0.5495,0.2430,12,0.7000,62.11,322,9.96,0.00,0,2800,384,384,412
38000,0.6034,0.3146,12,0.7000,62.06,330,9.96,0.00,0,2800,384,384,412
39000,0.6061,0.4336,12,0.7000,62.08,329,9.97,0.00,0,2800,384,384,412
40000,0.6659,0.3437,12,0.7000,62.02,327,9.97,0.00,0,2800,384,384,412
41000,0.5286,0.3432,12,0.7000,61.94,326,9.97,0.00,0,2800,384,384,412
42000,0.6743,0.2290,12,0.7000,62.11,324,9.96,0.00,0,2800,384,384,412
43000,0.5240,0.2027,12,0.7000,61.95,323,9.95,0.00,0,2800,384,384,412
44000,0.7098,0.1961,12,0.7000,62.14,322,9.95,0.01,5,2800,384,384,412
45000,0.5289,0.2403,12,0.7000,62.04,330,9.96,0.00,0,2800,384,384,412
46000,0.6955,0.3605,12,0.7000,62.12,329,9.96,0.01,5,2800,384,384,412
47000,0.5978,0.3203,12,0.7000,61.99,327,9.97,0.00,0,2800,384,384,412
48000,0.5928,0.3494,12,0.7000,61.95,326,9.95,0.00,0,2800,384,384,412
49000,0.6693,0.4222,12,0.7000,62.02,324,9.96,0.00,0,2800,384,384,412
50000,0.6842,0.3200,12,0.7000,62.11,323,9.95,0.00,0,2800,384,384,412
51000,0.6063,0.3235,12,0.7000,62.12,322,9.97,0.00,0,2800,384,384,412
52000,0.5669,0.2015,12,0.7000,61.86,330,9.97,0.00,0,2800,384,384,412
53000,0.6775,0.2677,12,0.7000,62.03,329,9.97,0.00,0,2800,384,384,412
54000,0.6023,0.3880,12,0.7000,61.98,327,9.96,0.00,0,2800,384,384,412
55000,0.5927,0.3292,12,0.7000,62.02,326,9.96,0.00,0,2800,384,384,412
56000,0.6064,0.3484,12,0.7000,61.98,324,9.97,0.00,0,2800,384,384,412
57000,0.7354,0.4583,12,0.7000,62.08,323,9.95,0.00,0,2800,384,384,412
58000,0.4743,0.2224,12,0.7000,62.17,321,9.96,0.00,0,2800,384,384,412
59000,0.5848,0.2469,12,0.7000,61.95,330,9.97,0.00,0,2800,384,384,412
60000,0.5900,0.2927,12,0.7000,61.98,328,9.97,0.00,0,2800,384,384,412
61000,0.5196,0.2821,12,0.7000,61.93,327,9.97,0.00,0,2800,384,384,412
62000,0.4801,0.2405,12,0.7000,62.05,325,9.95,0.03,5,2800,384,384,412
63000,0.5874,0.1412,12,0.7000,61.99,324,9.97,0.00,0,2800,384,384,412
64000,0.5799,0.3551,12,0.7000,62.02,323,9.96,0.00,0,2800,384,384,412
65000,0.6446,0.2107,12,0.7000,62.08,321,9.96,0.00,0,2800,384,384,412
66000,0.5653,0.2967,12,0.7000,61.90,330,9.96,0.00,0,2800,384,384,412
67000,0.6404,0.3467,12,0.7000,62.01,328,9.96,0.00,0,2800,384,384,412
68000,0.5216,0.2238,12,0.7000,62.07,326,9.95,0.00,0,2800,384,384,412
69000,0.5698,0.1390,12,0.7000,62.13,325,9.95,0.00,0,2800,384,384,412
70000,0.6419,0.3035,12,0.7000,62.01,324,9.96,0.00,0,2800,384,384,412
71000,0.6146,0.3044,12,0.7000,62.10,322,9.95,0.00,0,2800,384,384,412
72000,0.5533,0.2492,12,0.7000,61.98,321,9.97,0.00,0,2800,384,384,412
73000,0.6109,0.2643,12,0.7000,61.94,329,9.96,0.00,0,2800,384,384,412
74000,0.6387,0.2717,12,0.7000,62.14,328,9.96,0.00,0,2800,384,384,412
75000,0.5749,0.2496,12,0.7000,61.98,326,9.95,0.01,5,2800,384,384,412
76000,0.5623,0.3088,12,0.7000,62.12,325,9.96,0.00,0,2800,384,384,412
77000,0.5930,0.1859,12,0.7000,61.91,323,9.97,0.00,0,2800,384,384,412
78000,0.5394,0.3202,12,0.7000,62.14,322,9.95,0.00,0,2800,384,384,412
79000,0.5203,0.2835,12,0.7000,61.87,330,9.96,0.01,5,2800,384,384,412
80000,0.5356,0.1939,12,0.7000,62.00,329,9.96,0.00,0,2800,384,384,412
81000,0.5555,0.3204,12,0.7000,62.06,327,9.96,0.01,5,2800,384,384,412
82000,0.4728,0.1666,12,0.7000,62.05,326,9.96,0.00,0,2800,384,384,412
83000,0.6199,0.4118,12,0.7000,62.20,324,9.95,0.00,0,2800,384,384,412
84000,0.4731,0.1578,12,0.7000,61.93,323,9.97,0.01,5,2800,384,384,412
85000,0.5887,0.3432,12,0.7000,62.02,321,9.95,0.00,0,2800,384,384,412
86000,0.5700,0.3027,12,0.7000,61.99,330,9.96,0.01,5,2800,384,384,412
87000,0.5256,0.2354,12,0.7000,62.03,328,9.96,0.00,0,2800,384,384,412
88000,0.4827,0.2569,12,0.7000,62.19,327,9.96,0.00,0,2800,384,384,412
89000,0.4685,0.2418,12,0.7000,61.96,326,9.97,0.00,0,2800,384,384,412
90000,0.6213,0.2111,12,0.7000,62.09,324,9.94,0.00,0,2800,384,384,412
91000,0.5930,0.2497,12,0.7000,61.97,322,9.97,0.00,0,2800,384,384,412
92000,0.6171,0.2673,12,0.7000,61.78,321,9.97,0.00,0,2800,384,384,412
93000,0.5652,0.1518,12,0.7000,62.05,329,9.97,0.00,0,2800,384,384,412
94000,0.6274,0.1634,12,0.7000,61.95,328,9.97,0.01,5,2800,384,384,412
95000,0.5341,0.2580,12,0.7000,62.13,327,9.95,0.00,0,2800,384,384,412
96000,0.6533,0.3700,12,0.7000,61.98,325,9.96,0.00,0,2800,384,384,412
97000,0.6044,0.2949,12,0.7000,62.06,324,9.95,0.00,0,2800,384,384,412
98000,0.5743,0.3281,12,0.7000,62.02,323,9.96,0.00,0,2800,384,384,412
99000,0.5103,0.2263,12,0.7000,62.04,321,9.96,0.01,5,2800,384,384,412
100000,0.5542,0.3504,12,0.7000,62.09,330,9.96,0.00,0,2800,384,384,412
101000,0.6950,0.2604,12,0.7000,62.14,328,9.96,0.00,0,2800,384,384,412
102000,0.6172,0.2836,12,0.7000,61.98,327,9.97,0.00,0,2800,384,384,412
103000,0.6840,0.3472,12,0.7000,62.07,325,9.96,0.00,0,2800,384,384,412
104000,0.5532,0.2472,12,0.7000,61.87,324,9.97,0.00,0,2800,384,384,412
105000,0.6042,0.2331,12,0.7000,62.12,322,9.94,0.00,0,2800,384,384,412
106000,0.5604,0.2597,12,0.7000,61.95,321,9.97,0.00,0,2800,384,384,412
107000,0.5535,0.1675,12,0.7000,62.12,329,9.94,0.00,0,2800,384,384,412
108000,0.6146,0.2729,12,0.7000,62.18,328,9.96,0.00,0,2800,384,384,412
109000,0.5079,0.1852,12,0.7000,61.91,326,9.96,0.00,0,2800,384,384,412
110000,0.4015,0.1331,12,0.7000,62.13,325,9.96,0.01,5,2800,384,384,412
111000,0.4155,0.1461,12,0.7000,61.99,323,9.96,0.00,0,2800,384,384,412
112000,0.5464,0.2492,12,0.7000,62.02,322,9.95,0.00,0,2800,384,384,412
113000,0.6665,0.4134,12,0.7000,62.07,323,9.96,0.00,0,2800,384,384,412
114000,0.5365,0.2773,12,0.7000,61.97,329,9.96,0.00,0,2800,384,384,412
115000,0.7070,0.4885,12,0.7000,62.04,328,9.97,0.00,0,2800,384,384,412
116000,0.6496,0.4613,12,0.7000,61.98,326,9.96,0.00,0,2800,384,384,412
117000,0.5911,0.2980,12,0.7000,62.06,325,9.97,0.00,0,2800,384,384,412
118000,0.5351,0.2534,12,0.7000,61.89,323,9.97,0.00,0,2800,384,384,412
119000,0.5471,0.2181,12,0.7000,62.13,322,9.95,0.00,0,2800,384,384,412
120000,0.5729,0.3055,12,0.7000,62.11,330,9.96,0.00,0,2800,384,384,412
121000,0.5215,0.1279,12,0.7000,62.05,329,9.96,0.00,0,2800,384,384,412
122000,0.6499,0.3995,12,0.7000,62.07,327,9.97,0.00,0,2800,384,384,412
123000,0.6300,0.2573,12,0.7000,61.95,326,9.96,0.00,0,2800,384,384,412
124000,0.4973,0.2337,12,0.7000,62.02,324,9.97,0.00,0,2800,384,384,412
125000,0.5648,0.2432,12,0.7000,62.04,323,9.95,0.01,5,2800,384,384,412
126000,0.5002,0.2238,12,0.7000,62.06,321,9.95,0.00,0,2800,384,384,412
127000,0.6507,0.3217,12,0.7000,62.01,330,9.96,0.00,0,2800,384,384,412
128000,0.7083,0.5023,12,0.7000,62.12,328,9.95,0.00,0,2800,384,384,412
129000,0.6768,0.3793,12,0.7000,62.05,327,9.97,0.00,0,2800,384,384,412
130000,0.5723,0.3130,12,0.7000,62.04,325,9.95,0.00,0,2800,384,384,412
131000,0.5448,0.2421,12,0.7000,62.16,324,9.94,0.00,0,2800,384,384,412
132000,0.6951,0.3695,12,0.7000,61.94,323,9.97,0.00,0,2800,384,384,412
133000,0.6444,0.3122,12,0.7000,61.98,323,9.96,0.00,0,2800,384,384,412
134000,0.6137,0.2296,12,0.7000,61.98,330,9.97,0.00,0,2800,384,384,412
135000,0.5473,0.2603,12,0.7000,62.14,328,9.94,0.01,5,2800,384,384,412
136000,0.6266,0.1819,12,0.7000,62.08,326,9.96,0.00,0,2800,384,384,412
137000,0.5773,0.3313,12,0.7000,61.92,325,9.96,0.04,5,2800,384,384,412
138000,0.6062,0.2447,12,0.7000,62.12,324,9.96,0.00,0,2800,384,384,412
139000,0.4832,0.3022,12,0.7000,61.91,322,9.98,0.00,0,2800,384,384,412
140000,0.5818,0.3160,12,0.7000,62.12,323,9.96,0.00,0,2800,384,384,412
141000,0.6322,0.4298,12,0.7000,62.02,329,9.96,0.00,0,2800,384,384,412
142000,0.5844,0.2683,12,0.7000,62.08,328,9.96,0.00,0,2800,384,384,412
143000,0.6113,0.1685,12,0.7000,61.92,326,9.98,0.00,0,2800,384,384,412
144000,0.6665,0.3704,12,0.7000,61.98,324,9.97,0.00,0,2800,384,384,412
