trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
500,0.6487,0.3246,12,0.7000,62.06,322,9.96,0.00,0,2800,381,381,409
1000,0.5340,0.2074,12,0.7000,62.00,326,9.96,0.00,0,2800,382,382,410
1500,0.6012,0.3892,12,0.7000,61.99,321,9.97,0.00,0,2800,382,382,410
2000,0.5931,0.2613,12,0.7000,62.06,326,9.96,0.00,0,2800,382,382,410
2500,0.4942,0.2191,12,0.7000,62.13,321,9.94,0.00,0,2800,382,382,410
3000,0.5763,0.3110,12,0.7000,62.00,326,9.96,0.00,0,2800,382,382,410
3500,0.4721,0.2017,12,0.7000,62.01,330,9.96,0.00,0,2800,382,382,410
4000,0.5443,0.1580,12,0.7000,61.94,325,9.97,0.00,0,2800,382,382,410
4500,0.6558,0.2546,12,0.7000,62.05,330,9.96,0.00,0,2800,382,382,410
5000,0.6109,0.2710,12,0.7000,61.98,325,9.96,0.01,5,2800,382,382,410
5500,0.4652,0.2356,12,0.7000,62.05,330,9.96,0.01,5,2800,382,382,410
6000,0.6541,0.3192,12,0.7000,62.00,324,9.96,0.00,0,2800,382,382,410
6500,0.5037,0.2174,12,0.7000,62.01,329,9.96,0.00,0,2800,382,382,410
7000,0.5157,0.2762,12,0.7000,62.02,324,9.97,0.00,0,2800,382,382,410
7500,0.4575,0.2220,12,0.7000,62.14,329,9.94,0.00,0,2800,382,382,410
8000,0.6392,0.4002,12,0.7000,61.99,324,9.96,0.00,0,2800,382,382,410
8500,0.6630,0.3726,12,0.7000,62.19,328,9.95,0.01,5,2800,382,382,410
9000,0.6072,0.3808,12,0.7000,62.03,323,9.96,0.00,0,2800,382,382,410
9500,0.6216,0.3079,12,0.7000,62.02,328,9.97,0.00,0,2800,382,382,410
10000,0.5885,0.2580,12,0.7000,61.92,323,9.96,0.00,0,2800,382,382,410
10500,0.6953,0.2633,12,0.7000,62.02,328,9.96,0.00,0,2800,382,382,410
11000,0.5915,0.1573,12,0.7000,61.87,323,9.96,0.00,0,2800,382,382,410
11500,0.6893,0.3109,12,0.7000,61.89,328,9.98,0.00,0,2800,382,382,410
12000,0.5138,0.1547,12,0.7000,62.02,323,9.96,0.00,0,2800,382,382,410
12500,0.5238,0.2395,12,0.7000,62.15,327,9.95,0.00,0,2800,382,382,410
13000,0.4790,0.2305,12,0.7000,62.06,322,9.97,0.00,0,2800,382,382,410
13500,0.5424,0.2516,12,0.7000,62.04,327,9.97,0.00,0,2800,382,382,410
14000,0.5766,0.3776,12,0.7000,61.93,321,9.97,0.00,0,2800,382,382,410
14500,0.4943,0.2704,12,0.7000,62.05,326,9.96,0.00,0,2800,382,382,410
15000,0.5106,0.2675,12,0.7000,61.92,321,9.96,0.01,5,2800,382,382,410
15500,0.6163,0.2756,12,0.7000,62.03,326,9.96,0.00,0,2800,382,382,410
16000,0.5905,0.3246,12,0.7000,62.10,321,9.94,0.00,0,2800,382,382,410
16500,0.5369,0.3486,12,0.7000,61.97,326,9.97,0.00,0,2800,382,382,410
17000,0.5299,0.2979,12,0.7000,62.02,330,9.96,0.00,0,2800,382,382,410
17500,0.5576,0.2249,12,0.7000,62.09,325,9.96,0.00,0,2800,382,382,410
18000,0.5610,0.3574,12,0.7000,62.17,330,9.95,0.01,5,2800,382,382,410
18500,0.6034,0.2246,12,0.7000,61.95,325,9.97,0.01,5,2800,382,382,410
19000,0.6104,0.2010,12,0.7000,62.04,330,9.96,0.00,0,2800,382,382,410
19500,0.5213,0.2844,12,0.7000,61.84,324,9.98,0.00,0,2800,382,382,410
20000,0.5605,0.3614,12,0.7000,61.85,329,9.98,0.00,0,2800,382,382,410
20500,0.4765,0.2226,12,0.7000,61.95,324,9.96,0.00,0,2800,382,382,410
21000,0.5965,0.3298,12,0.7000,62.13,329,9.95,0.00,0,2800,382,382,410
21500,0.6079,0.3696,12,0.7000,62.05,324,9.95,0.00,0,2800,382,382,410
22000,0.5445,0.3644,12,0.7000,62.18,329,9.95,0.00,0,2800,382,382,410
22500,0.5840,0.2664,12,0.7000,62.11,324,9.95,0.00,0,2800,382,382,410
23000,0.6633,0.3558,12,0.7000,62.06,328,9.97,0.00,0,2800,382,382,410
23500,0.5134,0.1754,12,0.7000,61.96,323,9.96,0.00,0,2800,382,382,410
24000,0.5960,0.2690,12,0.7000,61.96,328,9.97,0.00,0,2800,382,382,410
24500,0.4200,0.1587,12,0.7000,62.02,323,9.96,0.01,5,2800,382,382,410
25000,0.6444,0.2340,12,0.7000,61.85,328,9.97,0.00,0,2800,382,382,410
25500,0.5029,0.2877,12,0.7000,62.05,322,9.95,0.00,0,2800,382,382,410
26000,0.5697,0.1561,12,0.7000,62.02,327,9.96,0.00,0,2800,382,382,410
26500,0.5943,0.3277,12,0.7000,61.99,322,9.95,0.00,0,2800,382,382,410
27000,0.4945,0.2506,12,0.7000,62.20,327,9.94,0.00,0,2800,382,382,410
27500,0.6068,0.2486,12,0.7000,62.08,322,9.96,0.00,0,2800,382,382,410
28000,0.5632,0.2478,12,0.7000,62.05,327,9.97,0.00,0,2800,382,382,410
28500,0.5290,0.2187,12,0.7000,62.11,322,9.97,0.00,0,2800,382,382,410
29000,0.5536,0.3783,12,0.7000,61.93,326,9.97,0.01,5,2800,382,382,410
29500,0.6506,0.3930,12,0.7000,61.96,321,9.97,0.00,0,2800,382,382,410
30000,0.7065,0.4317,12,0.7000,61.92,326,9.97,0.00,0,2800,383,383,411
30500,0.6296,0.3042,12,0.7000,61.99,321,9.96,0.00,0,2800,383,383,411
31000,0.5746,0.3265,12,0.7000,61.87,326,9.97,0.00,0,2800,383,383,411
31500,0.5420,0.3022,12,0.7000,61.89,330,9.96,0.00,0,2800,383,383,411
32000,0.6286,0.2897,12,0.7000,62.05,325,9.95,0.00,0,2800,383,383,411
32500,0.5939,0.2881,12,0.7000,62.21,330,9.94,0.00,0,2800,383,383,411
33000,0.5451,0.1905,12,0.7000,62.05,325,9.96,0.00,0,2800,383,383,411
33500,0.6291,0.2937,12,0.7000,62.04,330,9.98,0.00,0,2800,383,383,411
34000,0.6079,0.2211,12,0.7000,62.07,325,9.96,0.01,5,2800,383,383,411
34500,0.6747,0.2214,12,0.7000,61.95,329,9.98,0.00,0,2800,383,383,411
35000,0.6289,0.3016,12,0.7000,61.94,324,9.96,0.00,0,2800,383,383,411
35500,0.5374,0.1983,12,0.7000,61.93,329,9.97,0.00,0,2800,383,383,411
36000,0.6833,0.4057,12,0.7000,61.92,324,9.95,0.03,5,2800,383,383,411
36500,0.5160,0.2870,12,0.7000,62.08,329,9.95,0.00,0,2800,383,383,411
37000,0.6244,0.3951,12,0.7000,62.20,324,9.94,0.00,0,2800,383,383,411
37500,0.6240,0.1897,12,0.7000,62.09,328,9.97,0.00,0,2800,383,383,411
38000,0.6159,0.3121,12,0.7000,62.08,323,9.96,0.00,0,2800,383,383,411
38500,0.5626,0.1873,12,0.7000,61.96,328,9.97,0.00,0,2800,383,383,411
39000,0.5491,0.2277,12,0.7000,62.02,322,9.96,0.00,0,2800,383,383,411
39500,0.5816,0.2299,12,0.7000,61.98,327,9.97,0.00,0,2800,383,383,411
40000,0.5897,0.3241,12,0.7000,62.05,322,9.96,0.00,0,2800,383,383,411
40500,0.5337,0.2697,12,0.7000,61.91,327,9.96,0.00,0,2800,383,383,411
41000,0.5072,0.2525,12,0.7000,62.13,322,9.95,0.00,0,2800,383,383,411
