trial,within,selectivity,active,charge_mean,pulse_width_mean,alive_syn,total_syn,sparsity
500,0.5773,0.4690,27,0.00,24.15,16880,16880,1.0000
1000,0.5486,0.4595,26,0.00,23.96,16880,16880,1.0000
1500,0.5624,0.4610,26,0.00,25.17,16000,16880,0.9479
2000,0.5928,0.4882,26,0.00,26.87,14920,16880,0.8839
2500,0.5905,0.4908,25,0.00,27.48,13880,16880,0.8223
3000,0.5212,0.4262,25,0.00,28.81,13200,16880,0.7820
3500,0.5596,0.4630,25,0.00,31.30,12140,16880,0.7192
4000,0.5930,0.4904,25,0.00,30.04,12060,16880,0.7145
4500,0.5904,0.4893,25,0.00,30.34,11960,16880,0.7085
5000,0.5912,0.4888,25,0.00,30.29,11960,16880,0.7085
