trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned,sparsity,entropy_std,conductance_std,syn_growth_rate
10,0.4992,0.2188,15,0.6250,66.27,358,9.96,0.01,4,2800,13150,350,14329,0.0000,117.654,0.144,4.321
20,0.6103,0.2470,15,0.6250,66.45,360,9.95,0.01,4,2800,13152,352,14329,0.0000,117.899,0.184,3.451
30,0.6413,0.1703,15,0.6250,66.34,362,9.95,0.01,4,2800,13153,353,14329,0.0000,117.767,0.171,2.870
40,0.6324,0.2392,15,0.6250,66.27,363,9.96,0.01,5,2800,13155,355,14329,0.0000,117.688,0.144,2.465
50,0.6253,0.2587,15,0.6250,66.17,355,9.96,0.01,5,2800,13157,357,14329,0.0000,117.458,0.150,2.164
60,0.6511,0.4146,15,0.6250,66.14,357,9.97,0.00,4,2800,13160,360,14329,0.0000,117.494,0.099,1.935
70,0.6904,0.2241,15,0.6250,66.26,358,9.96,0.00,4,2800,13161,361,14329,0.0000,117.631,0.110,1.744
80,0.6590,0.2813,15,0.6250,66.29,360,9.96,0.01,5,2800,13162,362,14329,0.0000,117.697,0.154,1.588
90,0.5694,0.3422,15,0.6250,66.13,361,9.98,0.00,4,2800,13162,362,14329,0.0000,117.514,0.110,1.454
100,0.5914,0.1742,15,0.6250,66.27,363,9.96,0.00,4,2800,13162,362,14329,0.0000,117.689,0.099,1.341
