trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned,sparsity,entropy_std,conductance_std,syn_growth_rate
500,0.7639,0.1378,24,0.4000,105.25,520,10.00,25.03,100,16204,16204,604,0,1.0000,184.785,40.854,1.611
1000,0.7541,0.2970,24,0.4000,104.50,545,10.00,22.70,100,16204,16204,604,0,1.0000,182.863,39.468,0.875
1500,0.9007,0.2416,24,0.4000,103.02,545,9.99,20.22,100,16124,16204,604,80,0.9951,181.299,38.138,0.601
2000,0.8835,0.2045,23,0.4250,102.25,500,10.00,19.59,100,14461,16205,605,1744,0.8924,180.372,37.583,0.458
2500,0.9482,0.2842,22,0.4500,101.86,530,10.00,18.60,100,14143,16208,608,2065,0.8726,180.290,37.022,0.372
3000,0.8270,0.1868,22,0.4500,100.81,545,10.00,18.30,100,14064,16209,609,2145,0.8677,178.285,36.694,0.312
3500,0.9146,0.2672,21,0.4750,100.97,545,9.99,17.89,100,13130,16209,609,3079,0.8100,177.975,36.639,0.269
4000,0.8117,0.1701,21,0.4750,100.28,545,9.99,17.30,100,12517,16209,609,3692,0.7722,177.486,36.086,0.236
4500,0.9005,0.2175,20,0.5000,100.23,545,10.00,16.82,100,11939,16211,611,4272,0.7365,177.063,35.781,0.211
5000,0.7618,0.1212,19,0.5250,99.33,535,10.00,16.46,100,11613,16211,611,4598,0.7164,175.975,35.443,0.190
5500,0.9028,0.2003,19,0.5250,99.16,530,10.00,16.17,100,11490,16211,611,4721,0.7088,176.250,35.327,0.173
6000,0.8489,0.1788,19,0.5250,99.33,535,9.99,15.69,100,11178,16211,611,5033,0.6895,175.697,34.875,0.159
6500,0.8935,0.1924,18,0.5500,99.06,525,10.00,15.07,100,11054,16211,611,5157,0.6819,175.265,34.227,0.147
7000,0.8819,0.2001,18,0.5500,98.62,525,9.99,15.20,100,10891,16211,611,5320,0.6718,175.065,34.452,0.137
7500,0.8554,0.1758,18,0.5500,98.61,525,10.00,14.86,100,10662,16211,611,5549,0.6577,174.997,34.027,0.128
8000,0.7537,0.1856,18,0.5500,98.13,525,9.99,14.76,100,10581,16211,611,5630,0.6527,174.173,33.939,0.120
8500,0.8917,0.4392,18,0.5500,98.91,525,9.99,14.67,100,10459,16211,611,5752,0.6452,174.680,33.825,0.113
9000,0.9014,0.2226,18,0.5500,97.73,525,9.99,14.47,100,10296,16211,611,5915,0.6351,173.165,33.799,0.107
9500,0.8314,0.1531,18,0.5500,97.67,525,9.99,14.10,100,10130,16211,611,6081,0.6249,173.364,33.446,0.101
10000,0.9042,0.2144,18,0.5500,97.51,525,10.00,14.17,100,10130,16211,611,6081,0.6249,173.030,33.659,0.096
