id,x,y,kind
0,0,0,input
1,1,0,input
2,2,0,input
3,3,0,input
4,4,0,input
5,5,0,input
6,6,0,input
7,7,0,input
8,8,0,input
9,9,0,input
10,10,0,input
11,11,0,input
12,12,0,input
13,13,0,input
14,14,0,input
15,15,0,input
16,16,0,input
17,17,0,input
18,18,0,input
19,19,0,input
20,0,20,output
21,1,20,output
22,2,20,output
23,3,20,output
24,4,20,output
25,5,20,output
26,6,20,output
27,7,20,output
28,8,20,output
29,9,20,output
30,10,20,output
31,11,20,output
32,12,20,output
33,13,20,output
34,14,20,output
35,15,20,output
36,16,20,output
37,17,20,output
38,18,20,output
39,19,20,output
40,0,21,output
41,1,21,output
42,2,21,output
43,3,21,output
44,4,21,output
45,5,21,output
46,6,21,output
47,7,21,output
48,8,21,output
49,9,21,output
50,10,21,output
51,11,21,output
52,12,21,output
53,13,21,output
54,14,21,output
55,15,21,output
56,16,21,output
57,17,21,output
58,18,21,output
59,19,21,output
60,0,1,exc
61,1,1,exc
62,2,1,exc
63,3,1,exc
64,4,1,exc
65,5,1,exc
66,6,1,inh
67,7,1,exc
68,8,1,exc
69,9,1,exc
70,10,1,inh
71,11,1,inh
72,12,1,exc
73,13,1,exc
74,14,1,exc
75,15,1,exc
76,16,1,exc
77,17,1,exc
78,18,1,exc
79,19,1,exc
80,0,2,exc
81,1,2,inh
82,2,2,exc
83,3,2,exc
84,4,2,exc
85,5,2,exc
86,6,2,exc
87,7,2,exc
88,8,2,exc
89,9,2,exc
90,10,2,exc
91,11,2,inh
92,12,2,exc
93,13,2,inh
94,14,2,exc
95,15,2,exc
96,16,2,exc
97,17,2,inh
98,18,2,inh
99,19,2,exc
100,0,3,exc
101,1,3,exc
102,2,3,exc
103,3,3,exc
104,4,3,exc
105,5,3,exc
106,6,3,exc
107,7,3,exc
108,8,3,exc
109,9,3,exc
110,10,3,exc
111,11,3,exc
112,12,3,exc
113,13,3,exc
114,14,3,exc
115,15,3,exc
116,16,3,exc
117,17,3,exc
118,18,3,exc
119,19,3,inh
120,0,4,exc
121,1,4,exc
122,2,4,inh
123,3,4,exc
124,4,4,exc
125,5,4,exc
126,6,4,exc
127,7,4,inh
128,8,4,exc
129,9,4,exc
130,10,4,exc
131,11,4,exc
132,12,4,exc
133,13,4,exc
134,14,4,exc
135,15,4,exc
136,16,4,exc
137,17,4,inh
138,18,4,exc
139,19,4,exc
140,0,5,exc
141,1,5,exc
142,2,5,inh
143,3,5,exc
144,4,5,exc
145,5,5,inh
146,6,5,exc
147,7,5,inh
148,8,5,inh
149,9,5,exc
150,10,5,inh
151,11,5,exc
152,12,5,exc
153,13,5,exc
154,14,5,exc
155,15,5,inh
156,16,5,exc
157,17,5,exc
158,18,5,exc
159,19,5,exc
160,0,6,exc
161,1,6,exc
162,2,6,exc
163,3,6,exc
164,4,6,inh
165,5,6,exc
166,6,6,exc
167,7,6,exc
168,8,6,exc
169,9,6,inh
170,10,6,inh
171,11,6,exc
172,12,6,exc
173,13,6,exc
174,14,6,exc
175,15,6,exc
176,16,6,exc
177,17,6,exc
178,18,6,exc
179,19,6,exc
180,0,7,inh
181,1,7,exc
182,2,7,exc
183,3,7,inh
184,4,7,exc
185,5,7,exc
186,6,7,exc
187,7,7,exc
188,8,7,inh
189,9,7,exc
190,10,7,exc
191,11,7,exc
192,12,7,exc
193,13,7,exc
194,14,7,inh
195,15,7,exc
196,16,7,exc
197,17,7,exc
198,18,7,exc
199,19,7,exc
200,0,8,inh
201,1,8,exc
202,2,8,inh
203,3,8,exc
204,4,8,exc
205,5,8,exc
206,6,8,exc
207,7,8,exc
208,8,8,exc
209,9,8,exc
210,10,8,inh
211,11,8,inh
212,12,8,exc
213,13,8,exc
214,14,8,exc
215,15,8,exc
216,16,8,exc
217,17,8,exc
218,18,8,inh
219,19,8,exc
220,0,9,inh
221,1,9,exc
222,2,9,inh
223,3,9,exc
224,4,9,inh
225,5,9,inh
226,6,9,exc
227,7,9,exc
228,8,9,exc
229,9,9,exc
230,10,9,inh
231,11,9,exc
232,12,9,exc
233,13,9,exc
234,14,9,inh
235,15,9,exc
236,16,9,exc
237,17,9,exc
238,18,9,exc
239,19,9,exc
240,0,10,exc
241,1,10,exc
242,2,10,exc
243,3,10,exc
244,4,10,inh
245,5,10,inh
246,6,10,exc
247,7,10,exc
248,8,10,exc
249,9,10,exc
250,10,10,exc
251,11,10,exc
252,12,10,exc
253,13,10,exc
254,14,10,inh
255,15,10,exc
256,16,10,inh
257,17,10,exc
258,18,10,exc
259,19,10,inh
260,0,11,exc
261,1,11,exc
262,2,11,exc
263,3,11,exc
264,4,11,exc
265,5,11,exc
266,6,11,inh
267,7,11,inh
268,8,11,inh
269,9,11,exc
270,10,11,exc
271,11,11,exc
272,12,11,exc
273,13,11,exc
274,14,11,inh
275,15,11,exc
276,16,11,exc
277,17,11,exc
278,18,11,exc
279,19,11,exc
280,0,12,exc
281,1,12,exc
282,2,12,exc
283,3,12,exc
284,4,12,exc
285,5,12,exc
286,6,12,exc
287,7,12,exc
288,8,12,exc
289,9,12,exc
290,10,12,exc
291,11,12,exc
292,12,12,exc
293,13,12,exc
294,14,12,exc
295,15,12,exc
296,16,12,exc
297,17,12,exc
298,18,12,exc
299,19,12,exc
300,0,13,exc
301,1,13,inh
302,2,13,exc
303,3,13,inh
304,4,13,exc
305,5,13,exc
306,6,13,inh
307,7,13,inh
308,8,13,exc
309,9,13,inh
310,10,13,exc
311,11,13,inh
312,12,13,exc
313,13,13,exc
314,14,13,exc
315,15,13,exc
316,16,13,exc
317,17,13,exc
318,18,13,exc
319,19,13,exc
320,0,14,exc
321,1,14,exc
322,2,14,exc
323,3,14,exc
324,4,14,inh
325,5,14,exc
326,6,14,exc
327,7,14,exc
328,8,14,exc
329,9,14,exc
330,10,14,exc
331,11,14,exc
332,12,14,exc
333,13,14,exc
334,14,14,exc
335,15,14,inh
336,16,14,exc
337,17,14,exc
338,18,14,exc
339,19,14,exc
340,0,15,exc
341,1,15,inh
342,2,15,inh
343,3,15,inh
344,4,15,exc
345,5,15,exc
346,6,15,inh
347,7,15,exc
348,8,15,inh
349,9,15,exc
350,10,15,exc
351,11,15,exc
352,12,15,exc
353,13,15,exc
354,14,15,exc
355,15,15,exc
356,16,15,exc
357,17,15,exc
358,18,15,exc
359,19,15,exc
360,0,16,exc
361,1,16,inh
362,2,16,exc
363,3,16,inh
364,4,16,exc
365,5,16,exc
366,6,16,exc
367,7,16,exc
368,8,16,exc
369,9,16,exc
370,10,16,inh
371,11,16,exc
372,12,16,exc
373,13,16,exc
374,14,16,inh
375,15,16,exc
376,16,16,exc
377,17,16,exc
378,18,16,exc
379,19,16,exc
380,0,17,inh
381,1,17,exc
382,2,17,inh
383,3,17,inh
384,4,17,exc
385,5,17,exc
386,6,17,exc
387,7,17,exc
388,8,17,exc
389,9,17,exc
390,10,17,exc
391,11,17,inh
392,12,17,inh
393,13,17,exc
394,14,17,inh
395,15,17,exc
396,16,17,inh
397,17,17,exc
398,18,17,inh
399,19,17,exc
400,0,18,inh
401,1,18,exc
402,2,18,exc
403,3,18,exc
404,4,18,exc
405,5,18,exc
406,6,18,exc
407,7,18,exc
408,8,18,exc
409,9,18,exc
410,10,18,exc
411,11,18,exc
412,12,18,exc
413,13,18,inh
414,14,18,exc
415,15,18,exc
416,16,18,inh
417,17,18,exc
418,18,18,exc
419,19,18,exc
420,0,19,exc
421,1,19,exc
422,2,19,inh
423,3,19,exc
424,4,19,inh
425,5,19,exc
426,6,19,exc
427,7,19,exc
428,8,19,exc
429,9,19,inh
430,10,19,exc
431,11,19,exc
432,12,19,exc
433,13,19,exc
434,14,19,exc
435,15,19,exc
436,16,19,exc
437,17,19,exc
438,18,19,exc
439,19,19,exc
