type,window_or_sample_idx,best_pattern_idx,best_cos_sim
spontaneous,0,3,0.1200
spontaneous,1,1,0.1515
spontaneous,2,1,0.1573
spontaneous,3,1,0.1182
spontaneous,4,2,0.1332
spontaneous,5,4,0.1505
spontaneous,6,0,0.1783
spontaneous,7,1,0.1805
spontaneous,8,2,0.1810
spontaneous,9,2,0.1193
spontaneous,10,4,0.1490
spontaneous,11,1,0.1372
spontaneous,12,4,0.1202
spontaneous,13,4,0.1557
spontaneous,14,3,0.1447
spontaneous,15,3,0.1371
spontaneous,16,4,0.1440
spontaneous,17,4,0.1251
spontaneous,18,4,0.1526
spontaneous,19,3,0.1555
spontaneous,20,4,0.1399
spontaneous,21,4,0.1016
spontaneous,22,3,0.1081
spontaneous,23,0,0.1527
spontaneous,24,2,0.1500
spontaneous,25,4,0.1310
spontaneous,26,2,0.1607
spontaneous,27,4,0.1585
spontaneous,28,1,0.1256
spontaneous,29,3,0.1493
shuffle,0,-1,0.1500
shuffle,1,-1,0.1134
shuffle,2,-1,0.1617
shuffle,3,-1,0.1381
shuffle,4,-1,0.1027
shuffle,5,-1,0.1201
shuffle,6,-1,0.1689
shuffle,7,-1,0.1094
shuffle,8,-1,0.1140
shuffle,9,-1,0.1078
shuffle,10,-1,0.1428
shuffle,11,-1,0.1366
shuffle,12,-1,0.1794
shuffle,13,-1,0.1777
shuffle,14,-1,0.1278
shuffle,15,-1,0.1095
shuffle,16,-1,0.1143
shuffle,17,-1,0.1558
shuffle,18,-1,0.0994
shuffle,19,-1,0.1157
shuffle,20,-1,0.1689
shuffle,21,-1,0.1198
shuffle,22,-1,0.1084
shuffle,23,-1,0.1426
shuffle,24,-1,0.1339
shuffle,25,-1,0.1302
shuffle,26,-1,0.1664
shuffle,27,-1,0.1437
shuffle,28,-1,0.1358
shuffle,29,-1,0.1420
