trial,m1_within,m1_sel,m1_active,m2_within,m2_sel,m2_active,m1_open,m2_open
500,0.9134,0.2813,12,1.0000,0.0838,5,17711,18758
1000,0.9604,0.2932,12,1.0000,0.0838,5,17713,18762
1500,0.9823,0.2502,12,1.0000,0.0838,5,17713,18762
2000,0.9905,0.2534,12,1.0000,0.0838,5,7187,6461
2500,0.9905,0.2534,12,1.0000,0.0838,5,7163,6461
3000,0.9841,0.2494,12,1.0000,0.0838,5,7080,6461
3500,0.9841,0.2494,12,1.0000,0.0838,5,7080,6461
4000,0.9857,0.2509,12,1.0000,0.0838,5,7080,6461
4500,0.9857,0.2509,12,1.0000,0.0838,5,7080,6461
5000,0.9905,0.2534,12,1.0000,0.0838,5,7080,6461
