trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned,sparsity
500,0.9507,0.4079,12,0.7000,61.79,340,9.88,4.95,100,17710,17710,830,0,1.0000
1000,0.9351,0.3907,12,0.7000,62.02,340,9.87,4.97,100,17713,17713,833,0,1.0000
1500,0.9706,0.3750,12,0.7000,61.88,340,9.85,4.94,100,15143,17713,833,2570,0.8549
2000,0.9905,0.3893,12,0.7000,61.79,330,9.86,4.95,100,7431,17713,833,10282,0.4195
2500,0.9905,0.3893,12,0.7000,61.75,330,9.87,4.91,100,7246,17713,833,10467,0.4091
3000,0.9841,0.3848,12,0.7000,61.86,330,9.89,4.90,100,7080,17714,834,10634,0.3997
3500,0.9841,0.3848,12,0.7000,61.71,330,9.88,4.88,100,7080,17714,834,10634,0.3997
4000,0.9857,0.3863,12,0.7000,61.67,330,9.88,4.85,100,7080,17714,834,10634,0.3997
4500,0.9857,0.3863,12,0.7000,61.72,330,9.88,4.88,100,7080,17714,834,10634,0.3997
5000,0.9905,0.3893,12,0.7000,61.79,330,9.89,4.88,100,7080,17714,834,10634,0.3997
5500,0.9857,0.3863,12,0.7000,61.87,330,9.88,4.89,100,7018,17714,834,10696,0.3962
6000,0.9857,0.3863,12,0.7000,61.90,330,9.86,4.88,100,7018,17714,834,10696,0.3962
6500,0.9905,0.3893,12,0.7000,61.68,330,9.87,4.74,100,7018,17714,834,10696,0.3962
7000,0.9905,0.3893,12,0.7000,61.75,330,9.88,4.74,100,6994,17714,834,10720,0.3948
7500,0.9905,0.3893,12,0.7000,61.72,330,9.88,4.73,100,6994,17714,834,10720,0.3948
8000,0.9857,0.3863,12,0.7000,61.67,330,9.89,4.70,100,6994,17714,834,10720,0.3948
8500,0.9857,0.3863,12,0.7000,61.74,330,9.87,4.74,100,6994,17714,834,10720,0.3948
9000,0.9905,0.3893,12,0.7000,61.74,330,9.88,4.72,100,6994,17714,834,10720,0.3948
9500,0.9857,0.3863,12,0.7000,61.73,330,9.87,4.74,100,6580,17714,834,11134,0.3715
10000,0.9905,0.3893,12,0.7000,61.85,330,9.86,4.74,100,6580,17714,834,11134,0.3715
