step,input_idx
60009,10
60009,12
60009,5
60009,9
60009,11
60009,8
60138,12
60138,10
60138,6
60138,15
60145,17
60145,18
60145,16
60155,13
60155,11
60155,14
60155,10
60307,5
60307,3
60314,16
60384,10
60384,8
60384,11
60384,9
60384,12
60616,10
60616,11
60616,8
60616,5
60616,12
60616,9
60619,19
61180,4
61197,1
61197,0
61197,5
61197,3
61197,4
61432,15
61432,8
61432,14
61432,18
61432,17
61707,12
61797,6
61824,6
61824,7
61850,8
61850,3
61850,1
61850,5
61850,2
61850,4
62179,19
62179,14
62179,16
62179,17
62179,18
62224,14
62224,18
62224,16
62369,16
62369,18
62369,17
62420,15
62420,13
62556,12
62556,15
62556,14
62607,6
62802,1
62802,3
62802,0
62893,17
62893,14
62893,16
62893,15
63063,15
63063,14
63063,19
63067,4
63319,6
63319,3
63319,5
63604,5
63604,10
63604,2
63604,7
63654,13
63654,7
63654,11
63654,6
63654,8
63712,2
63816,17
63831,15
63831,13
63831,12
63864,5
63864,13
63864,6
63864,9
63864,11
63926,6
63926,9
63926,8
63926,5
63926,11
64154,12
64171,1
64232,1
64232,4
64232,3
64383,15
64383,17
64577,19
64860,10
65043,17
65099,13
65099,12
65099,14
65334,4
65334,7
65334,12
65334,3
65568,12
65568,11
65617,7
65617,8
65617,6
65617,9
65648,1
65648,8
65648,3
65648,4
65648,5
65854,7
65913,14
66105,17
66108,2
66108,3
66108,4
66129,15
66129,9
66129,18
66129,13
66129,14
66129,12
66294,8
66294,14
66565,3
66565,0
66565,2
66565,1
66565,5
66645,6
66709,16
66709,18
66709,11
66819,17
66819,15
66819,16
66870,5
66870,1
66906,13
67504,3
67504,4
67504,7
67784,4
67784,6
67784,3
67784,9
67850,18
67850,14
67881,6
68009,9
68009,5
68009,2
68124,6
68124,4
68539,6
69207,16
69207,18
69345,19
69345,15
69507,7
69606,3
69606,6
69606,4
69606,10
69606,5
69683,3
69683,2
69810,11
69810,15
69810,8
69825,16
69825,15
69825,18
69888,8
69949,12
69949,16
69949,14
69949,15
69949,17
69949,13
70170,1
70170,2
70221,5
70221,9
70221,7
70221,8
70315,6
70315,9
70315,7
70315,4
70315,5
70544,15
70546,4
70546,7
70566,4
70569,4
70569,6
70569,7
70613,17
70651,13
70651,14
70651,9
70806,12
70806,13
70825,11
70825,12
70825,14
70825,10
70889,3
70889,7
70889,6
70889,8
70889,5
71258,18
71258,17
71258,16
71258,19
71258,14
71426,9
71644,3
71644,9
71700,10
71700,15
71700,12
71867,5
71867,8
71867,3
71867,10
71867,6
71892,1
71892,3
71892,7
72055,16
72055,17
72055,15
72313,8
72316,11
72316,13
72355,10
72355,7
72355,5
72355,11
72405,1
72427,7
72427,4
72427,6
72427,5
72427,9
72486,6
72486,4
72486,1
72486,0
72486,3
72688,10
