step,output_idx
60186,10
60198,15
60208,14
60219,19
60224,35
60228,3
60232,38
60239,23
60254,39
60266,7
60276,27
60292,11
60298,31
60318,6
60358,10
60395,18
60397,26
60456,14
60458,15
60525,35
60536,39
60540,7
60559,19
60574,23
60790,14
60800,6
60850,26
60892,15
60913,7
60923,39
60949,35
60965,19
60970,23
60975,11
60985,3
60992,31
61009,27
61511,19
61530,7
61541,35
61557,15
61562,27
61595,31
61602,39
61603,11
61605,3
61620,23
61889,9
61898,26
61919,30
61922,34
61934,6
62106,15
62111,7
62121,35
62127,11
62130,23
62140,31
62154,39
62157,19
62192,3
62202,27
62219,10
62386,10
62753,15
62765,7
62769,19
62776,31
62816,36
62820,11
62821,27
62824,23
62825,39
62829,30
62837,3
62847,34
62861,35
63366,31
63372,7
63391,39
63394,15
63412,11
63413,27
63425,35
63441,23
63449,19
63468,3
63664,6
63840,15
63873,12
63875,19
63880,6
63910,35
63914,14
63925,7
63932,39
63937,11
63938,18
63938,38
63940,26
63958,3
63980,31
63981,27
63986,23
64024,15
64154,19
64552,31
64557,23
64559,7
64574,27
64585,11
64600,39
64618,3
64631,15
64637,19
64644,35
65157,7
65167,31
65168,19
65172,27
65174,15
65202,3
65210,23
65217,39
65228,11
65241,35
65659,18
65661,26
65684,11
65687,9
65697,30
65700,34
65727,23
65732,15
65739,31
65742,39
65754,7
65759,35
65776,19
65800,3
65806,27
66342,19
66345,7
66350,15
66350,31
66377,27
66377,39
66395,35
66401,11
66404,23
66417,3
66579,36
66592,30
66900,11
66909,9
66942,23
66947,31
66950,7
66950,30
66953,34
66955,19
66964,27
66969,39
66975,15
66999,3
67019,35
67548,7
67556,31
67594,39
67598,27
67618,23
67629,11
67629,15
67632,19
67640,35
67651,3
68144,39
68146,7
68154,31
68189,11
68195,27
68212,15
68225,23
68226,35
68235,19
68244,3
68743,7
68752,31
68791,39
68793,27
68811,15
68812,11
68813,23
68823,19
68838,35
68846,3
69341,7
69350,31
69388,39
69391,27
69410,11
69410,15
69411,23
69417,19
69434,35
69443,3
69830,26
69899,18
69927,11
69930,7
69934,15
69934,31
69938,39
69951,19
69952,35
69975,27
69976,3
69993,23
70333,38
70464,39
70498,11
70514,31
70515,7
70560,35
70562,15
70571,19
70585,23
70592,27
70601,6
70604,3
70789,31
70866,12
71111,11
71114,7
71140,15
71141,31
71149,19
71159,39
71174,35
71178,27
71191,23
71211,3
71662,38
71723,39
71733,7
71751,31
71773,27
71792,15
71799,23
71802,11
71806,19
71813,35
71833,3
71885,18
71929,9
71961,34
72331,7
72349,31
72381,27
72384,39
72388,11
72391,15
72393,19
72400,23
72417,35
72429,3
72445,9
72500,36
72505,30
72508,34
72520,6
72600,30
72932,7
72947,31
72977,27
72981,39
72982,19
72984,15
72988,11
72997,23
73006,35
73021,3
73530,7
73530,31
73566,39
73576,27
73579,23
73584,19
73592,15
73593,11
73596,35
73609,3
74128,7
74142,31
74170,39
74174,27
74188,11
74188,19
74192,15
74192,23
74206,35
74220,3
74718,36
74723,30
74726,34
74728,7
74739,11
74741,31
74744,2
74750,27
74752,30
74769,39
74776,23
74780,3
74782,19
74792,15
74799,35
74800,34
75137,38
75295,7
75329,31
75355,19
75356,23
75372,11
75372,27
75372,39
75377,15
75386,35
75396,3
75728,9
75808,30
75811,34
75905,31
75907,7
75953,39
75964,23
75967,27
75968,35
75971,19
75980,11
75980,15
75983,3
76458,36
76471,30
76489,34
76490,2
76507,7
76521,31
76542,11
76544,27
76550,39
76566,35
76571,19
76573,15
76579,3
76583,23
76606,36
76626,6
76630,10
77110,7
77112,30
77130,34
77131,31
77156,39
77164,27
77170,11
77171,19
77172,23
77175,15
77184,35
77199,3
77716,7
77728,31
77754,39
77761,27
77769,19
77772,11
77774,15
77778,23
77781,35
77803,3
78314,7
78326,31
78350,39
78359,27
78359,38
78366,11
78368,19
78372,15
78375,23
78387,35
78396,3
78912,7
78924,31
78949,39
78956,27
78964,11
78965,19
78970,15
78973,23
78981,35
78997,3
79510,7
79522,31
79545,39
79555,27
79559,11
79563,19
79566,15
79570,23
79582,35
79594,3
80108,7
80120,31
80143,39
80156,27
80161,11
80162,19
80164,15
80168,23
80178,18
80181,35
80190,3
80337,18
80338,38
80340,26
80346,14
80706,7
80717,31
80740,39
80752,11
80756,27
80759,19
80760,15
80766,23
80776,35
80787,3
81304,7
81316,31
81338,39
81350,11
81355,27
81358,19
81359,15
81364,23
81375,35
81386,3
81490,38
81902,7
81913,31
81934,39
81947,11
81951,27
81956,15
81957,19
81961,23
81971,35
81980,3
82134,18
82187,26
82500,7
82512,31
82533,39
82545,11
82550,27
82555,15
82556,19
82560,23
82569,35
82582,3
82962,36
83099,7
83110,31
83132,39
83136,11
83140,27
83150,15
83151,19
83151,23
83166,35
83180,3
83697,7
83707,31
83727,39
83742,11
83747,27
83750,15
83750,19
83755,23
83762,35
83775,3
83998,7
84304,7
84306,31
84327,39
84340,11
84347,27
84349,15
84350,19
84354,23
84365,35
84376,3
84902,7
84904,31
84931,39
84938,11
84944,27
84946,15
84948,19
84951,23
84963,35
84974,3
85001,38
85500,7
85511,31
85531,39
85536,11
85545,27
85549,15
85550,19
85550,23
85563,35
85572,3
86090,38
86099,7
86109,31
86130,39
86138,11
86143,27
86144,15
86148,19
86149,23
86161,35
86171,3
86390,7
86706,7
86707,31
86727,39
86735,11
86741,27
86745,15
86746,19
86746,23
86760,35
86773,3
87304,7
87305,31
87324,39
87333,11
87339,27
87343,15
87344,19
87345,23
87360,35
87371,3
87597,31
87902,7
87904,31
87923,39
87931,11
87937,27
87941,15
87942,19
87942,23
87957,35
87971,3
88500,7
88511,31
88522,39
88529,11
88531,38
88535,27
88540,19
88541,15
88541,23
88556,35
88569,3
89099,7
89109,31
89120,39
89131,11
89133,27
89138,19
89139,15
89139,23
89156,35
89167,3
89400,7
89706,7
89707,31
89717,39
89727,11
89731,27
89732,19
89736,15
89736,23
89751,35
89763,3
90304,7
90305,31
90316,39
90323,27
90328,11
90334,19
90335,15
90335,23
90349,35
90361,3
90596,31
90902,7
90904,31
90913,39
90927,11
90927,27
90929,19
90932,15
90932,23
90947,35
90957,3
91500,7
91511,31
91512,39
91520,27
91525,11
91531,23
91532,15
91534,19
91549,35
91561,3
91706,38
91799,7
92108,7
92109,31
92118,39
92123,27
92126,11
92129,23
92132,15
92136,19
92148,35
92159,3
92706,7
92707,31
92716,39
92720,23
92721,27
92723,11
92726,15
92732,19
92745,35
92755,3
93304,7
93305,31
93314,39
93316,15
93319,27
93322,11
93325,23
93332,19
93345,35
93355,3
93596,31
93902,7
93904,31
93913,39
93917,27
93922,23
93923,11
93928,19
93930,15
93942,35
93951,3
94500,7
94511,31
94511,39
94515,27
94521,11
94521,23
94530,15
94531,19
94542,35
94551,3
95099,7
95109,31
95109,39
95113,27
95119,15
95119,23
95121,11
95126,19
95144,35
95150,3
95400,7
95706,7
95707,31
95707,39
95711,27
95716,23
95717,15
95718,11
95728,19
95741,35
95745,3
96302,7
96304,31
96305,39
96309,27
96312,15
96315,11
96315,23
96318,19
96339,35
96344,3
96592,31
96666,38
96897,7
96903,31
96903,39
96907,27
96912,15
96912,23
96917,11
96917,19
96937,35
96942,3
97198,39
97199,11
97199,31
97500,7
97505,27
97511,23
97511,31
97511,39
97518,11
97520,15
97532,19
97540,35
97542,3
98099,7
98103,27
98105,23
98109,39
98110,31
98116,11
98118,15
98130,19
98132,35
98140,3
98233,38
98400,7
98701,27
98706,7
98707,31
98707,39
98710,23
98714,15
98718,11
98721,19
98734,35
98741,3
98999,27
99304,7
99305,39
99306,31
99309,23
99309,27
99312,15
99315,11
99321,19
99332,35
99340,3
99900,7
99903,39
99906,23
99907,27
99912,11
99913,31
99918,15
99918,19
99934,35
99938,3
100195,19
100196,11
100200,39
100500,7
100505,27
100508,15
100510,23
100511,31
100511,39
100523,11
100527,19
100528,35
100540,3
101099,7
101103,15
101103,27
101108,23
101109,31
101109,39
101118,35
101121,11
101126,19
101139,3
101235,38
101400,7
101701,27
101704,31
101706,7
101706,15
101706,23
101707,39
101718,11
101722,19
101722,35
101737,3
101994,15
101994,19
101999,31
102000,27
102304,7
102304,23
102305,39
102309,27
102312,15
102313,31
102315,11
102321,35
102326,19
102335,3
102900,7
102902,23
102903,39
102907,27
102913,31
102916,15
102918,11
102919,35
102924,19
102933,3
103200,23
103200,39
103393,38
103500,7
103500,23
103502,31
103505,15
103505,27
103507,39
103513,35
103520,11
103525,19
103529,3
103795,15
103800,31
104099,7
104103,27
104108,23
104109,39
104110,31
104116,15
104116,35
104121,11
104126,19
104137,3
104400,7
104701,27
104706,7
104706,23
104707,31
104707,39
104708,15
104714,35
104715,19
104716,11
104735,3
105000,27
105304,7
105304,23
105305,39
105306,15
105306,31
105307,27
105312,11
105313,19
105321,35
105333,3
105600,11
105902,7
105902,23
105903,39
105904,31
105906,15
105907,27
105914,11
105918,19
105918,35
105931,3
106194,19
106199,35
106200,15
106200,23
106200,39
106500,7
106505,27
106508,15
106510,23
106511,31
106511,39
106518,35
106523,11
106528,19
106533,3
107099,7
107103,27
107107,15
107108,23
107109,31
107109,39
107116,35
107121,11
107126,19
107131,3
107236,38
107400,7
107701,27
107703,15
107706,7
107706,23
107707,31
107707,39
107711,19
107712,11
107712,35
107716,3
107943,38
107993,19
107998,15
107999,31
108000,27
108304,7
108304,23
108305,39
108306,31
108309,27
108312,15
108317,11
108321,35
108332,19
108333,3
108902,7
108902,23
108903,39
108904,31
108907,27
108910,15
108915,11
108918,35
108930,19
108931,3
109200,35
109200,39
109500,7
109500,23
109505,27
109508,15
109511,31
109511,39
109516,11
109518,35
109528,19
109529,3
109800,11
109800,23
110099,7
110103,27
110107,15
110108,23
110109,31
110109,39
110116,35
110121,11
110126,19
110128,3
110400,7
110701,27
110704,7
110706,23
110707,31
110707,39
110714,15
110714,35
110718,11
110724,19
110726,3
110997,3
110999,31
111000,27
111303,7
111304,23
111305,39
111306,15
111306,31
111309,27
111315,11
111321,35
111326,3
111326,19
111890,38
111900,27
111902,7
111902,23
111903,39
111904,15
111904,31
111915,11
111918,35
111926,19
111928,3
112198,15
112200,39
112498,27
112500,7
112500,23
112503,31
112511,15
112511,39
112517,35
112522,11
112525,3
112526,19
112792,31
113099,7
113099,23
113103,27
113107,15
113109,39
113110,31
113115,19
113115,35
113121,11
113123,3
113394,19
113400,7
113400,23
113400,35
113536,38
113681,15
113686,27
113701,31
113704,7
113706,23
113707,39
113714,35
113716,11
113721,3
113724,19
113783,38
113827,38
113972,27
113978,31
113983,15
113992,11
114297,7
114304,23
114305,39
114309,27
114312,15
114312,19
114313,35
114314,11
114316,31
114321,3
114595,11
114597,19
114902,7
114902,23
114903,39
114907,27
114913,15
114913,31
114918,35
114922,3
114923,11
114930,19
115200,3
115200,39
115493,7
115500,23
115505,27
115508,15
115509,35
115511,39
115512,31
115520,3
115521,11
115528,19
115713,38
115788,7
115795,35
116088,27
116099,23
116100,7
116103,31
116107,15
116109,39
116116,35
116121,11
116124,3
116126,19
116392,27
116400,31
116697,23
116706,7
116706,15
116707,39
116711,27
116714,19
116714,35
116718,11
116718,31
116722,3
116998,23
117299,7
117304,23
117305,39
117306,15
117309,27
117312,19
117313,35
117316,31
117319,3
117319,11
117902,7
117902,23
117903,39
117907,27
117909,15
117913,31
117917,11
117918,35
117922,3
117925,19
118192,3
118198,39
118199,11
118500,7
118500,23
118505,27
118507,15
118511,39
118512,31
118517,35
118521,3
118522,11
118524,19
119099,7
119099,23
119103,27
119104,15
119109,39
119110,31
119115,19
119115,35
119121,11
119128,3
119399,19
119400,15
119697,7
119697,23
119701,27
119705,15
119707,31
119707,39
119712,35
119716,11
119722,3
119722,19
119990,23
119998,7
119998,11
120297,23
120300,27
120304,7
120305,39
120306,31
120310,15
120311,35
120319,11
120321,3
120321,19
120600,27
120902,7
120902,23
120903,39
120904,31
120907,15
120907,27
120908,35
120918,19
120921,11
120922,3
121192,3
121197,39
121200,35
121439,38
121477,23
121499,11
121500,7
121505,15
121505,27
121506,3
121510,39
121511,31
121517,35
121519,19
121782,23
121784,11
121800,19
122099,7
122102,15
122103,27
122108,23
122108,31
122109,39
122115,35
122122,19
122123,11
122129,3
122400,15
122688,38
122694,27
122697,7
122706,15
122706,23
122707,31
122707,39
122712,35
122718,19
122721,11
122726,3
122978,38
122998,7
122999,27
122999,31
