trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned,sparsity,entropy_std,conductance_std,syn_growth_rate
500,0.4009,-0.0091,10,0.7500,72.89,410,9.94,3.64,99,16204,16204,604,0,1.0000,131.943,16.324,1.611
1000,0.4504,0.0233,10,0.7500,73.81,410,9.89,3.70,100,16204,16204,604,0,1.0000,133.878,16.708,0.875
1500,0.3733,-0.0094,10,0.7500,72.16,400,9.94,3.66,99,16124,16204,604,80,0.9951,130.564,16.379,0.601
2000,0.4848,0.0760,10,0.7500,73.96,410,9.95,3.68,100,14300,16204,604,1904,0.8825,134.027,16.628,0.458
2500,0.4816,0.1269,10,0.7500,72.08,390,9.94,3.60,100,13175,16204,604,3029,0.8131,130.407,16.272,0.369
3000,0.4458,0.0269,10,0.7500,73.33,410,9.93,3.65,100,10259,16204,604,5945,0.6331,132.852,16.497,0.310
3500,0.4556,-0.0098,10,0.7500,75.03,430,9.93,3.80,100,5445,16204,604,10759,0.3360,136.121,16.912,0.267
4000,0.4618,0.0728,10,0.7500,74.85,410,9.95,3.81,100,5446,16205,605,10759,0.3361,135.694,17.001,0.234
4500,0.4823,0.0256,10,0.7500,71.65,410,9.92,3.63,99,5446,16205,605,10759,0.3361,129.712,16.441,0.209
5000,0.4213,0.0563,10,0.7500,71.57,400,9.92,3.62,100,5446,16205,605,10759,0.3361,129.506,16.467,0.188
5500,0.4921,0.0453,10,0.7500,71.75,390,9.96,3.61,100,5446,16205,605,10759,0.3361,129.920,16.323,0.172
6000,0.4559,0.0411,10,0.7500,73.22,420,9.94,3.69,100,5446,16205,605,10759,0.3361,132.561,16.630,0.158
6500,0.4422,0.0793,10,0.7500,72.07,390,9.95,3.65,100,5446,16205,605,10759,0.3361,130.447,16.403,0.146
7000,0.4356,0.0240,10,0.7500,71.92,390,9.90,3.65,100,5446,16205,605,10759,0.3361,130.146,16.512,0.135
7500,0.4135,0.0369,10,0.7500,71.72,380,9.91,3.59,100,5446,16205,605,10759,0.3361,129.610,16.247,0.126
8000,0.4773,0.0563,10,0.7500,73.00,410,9.95,3.68,100,5446,16205,605,10759,0.3361,132.236,16.562,0.119
8500,0.4849,0.1054,10,0.7500,73.30,430,9.93,3.73,100,5446,16205,605,10759,0.3361,132.870,16.721,0.112
