trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned,sparsity,entropy_std,conductance_std,syn_growth_rate
500,0.5144,-0.0648,4,0.9000,375.38,1709,10.00,0.01,5,2800,838,838,255,0.0000,392.068,0.173,2.235
1000,0.5306,-0.0447,4,0.9000,375.52,1707,9.99,0.00,0,2800,838,838,360,0.0000,392.009,0.000,1.214
1500,0.5467,-0.0678,4,0.9000,375.44,1706,10.00,0.00,0,2800,838,838,466,0.0000,391.801,0.000,0.834
2000,0.5105,-0.0658,4,0.9000,375.38,1705,10.00,0.01,5,2800,838,838,572,0.0000,391.820,0.173,0.635
2500,0.5148,-0.0690,4,0.9000,375.23,1704,9.99,0.00,0,2800,838,838,677,0.0000,391.775,0.000,0.513
3000,0.5434,-0.0229,4,0.9000,375.54,1703,10.00,0.01,5,2800,838,838,782,0.0000,391.952,0.173,0.430
3500,0.5677,-0.0098,4,0.9000,375.37,1701,9.99,0.00,0,2800,838,838,889,0.0000,391.781,0.000,0.370
4000,0.5005,-0.0733,4,0.9000,375.31,1700,9.99,0.01,5,2800,838,838,994,0.0000,391.811,0.173,0.325
4500,0.5226,-0.0551,4,0.9000,375.38,1709,10.00,0.00,0,2800,838,838,1099,0.0000,391.923,0.000,0.289
5000,0.5464,-0.0657,4,0.9000,375.61,1708,9.99,0.00,0,2800,838,838,1205,0.0000,392.063,0.000,0.261
5500,0.5463,-0.0362,4,0.9000,375.22,1706,9.99,0.01,5,2800,838,838,1311,0.0000,391.880,0.173,0.238
6000,0.5150,-0.0602,4,0.9000,375.46,1705,9.99,0.00,0,2800,838,838,1417,0.0000,391.967,0.000,0.218
6500,0.5285,-0.0383,4,0.9000,375.54,1704,9.99,0.00,0,2800,838,838,1523,0.0000,392.059,0.000,0.202
7000,0.5632,-0.0015,4,0.9000,375.55,1703,10.00,0.00,0,2800,838,838,1629,0.0000,391.839,0.000,0.187
7500,0.4970,-0.0746,4,0.9000,375.38,1701,10.00,0.00,4,2800,838,838,1735,0.0000,391.883,0.138,0.175
8000,0.5445,-0.0392,4,0.9000,375.52,1700,9.99,0.01,5,2800,838,838,1840,0.0000,392.031,0.173,0.164
8500,0.5801,-0.0300,4,0.9000,375.59,1699,10.00,0.00,0,2800,838,838,1945,0.0000,392.162,0.000,0.155
9000,0.5342,-0.0367,4,0.9000,375.35,1698,9.99,0.01,5,2800,838,838,2052,0.0000,391.765,0.173,0.146
9500,0.5064,-0.0851,4,0.9000,375.49,1707,10.00,0.00,0,2800,838,838,2157,0.0000,391.970,0.000,0.139
10000,0.5227,-0.0496,4,0.9000,375.49,1705,10.00,0.01,5,2800,838,838,2262,0.0000,391.885,0.173,0.132
10500,0.5143,-0.0604,4,0.9000,375.51,1704,9.99,0.00,0,2800,838,838,2367,0.0000,391.944,0.000,0.126
11000,0.5304,-0.0379,4,0.9000,375.38,1703,10.00,0.00,0,2800,838,838,2473,0.0000,391.924,0.000,0.120
11500,0.5286,-0.0525,4,0.9000,375.42,1702,10.00,0.00,0,2800,838,838,2578,0.0000,391.931,0.000,0.115
12000,0.4978,-0.0673,4,0.9000,375.31,1701,9.99,0.00,0,2800,838,838,2684,0.0000,391.730,0.000,0.110
12500,0.5349,-0.0433,4,0.9000,375.56,1699,10.00,0.01,5,2800,838,838,2790,0.0000,391.935,0.173,0.106
13000,0.5299,-0.0553,4,0.9000,375.42,1698,10.00,0.00,0,2800,838,838,2896,0.0000,391.806,0.000,0.102
13500,0.5278,-0.0500,4,0.9000,375.34,1707,9.99,0.01,5,2800,838,838,3002,0.0000,392.012,0.244,0.098
14000,0.4844,-0.0914,4,0.9000,375.52,1706,10.00,0.00,0,2800,838,838,3107,0.0000,391.863,0.000,0.094
14500,0.5448,-0.0360,4,0.9000,375.50,1704,9.99,0.01,5,2800,838,838,3214,0.0000,392.132,0.173,0.091
15000,0.5377,-0.0436,4,0.9000,375.59,1703,9.99,0.00,0,2800,838,838,3319,0.0000,391.914,0.000,0.088
15500,0.5044,-0.0658,4,0.9000,375.46,1702,10.00,0.00,0,2800,838,838,3424,0.0000,391.899,0.000,0.085
16000,0.5333,-0.0401,4,0.9000,375.41,1701,9.99,0.00,0,2800,838,838,3530,0.0000,391.936,0.000,0.083
16500,0.5783,-0.0340,4,0.9000,375.36,1700,10.00,0.00,0,2800,838,838,3636,0.0000,391.852,0.000,0.080
17000,0.5262,-0.0484,4,0.9000,375.55,1698,9.99,0.01,5,2800,838,838,3741,0.0000,391.907,0.244,0.078
17500,0.5124,-0.0636,4,0.9000,375.77,1707,10.00,0.00,0,2800,838,838,3847,0.0000,392.184,0.000,0.076
18000,0.5238,-0.0534,4,0.9000,375.39,1706,10.00,0.01,5,2800,838,838,3952,0.0000,391.807,0.244,0.074
18500,0.5127,-0.0602,4,0.9000,375.48,1705,10.00,0.00,0,2800,838,838,4058,0.0000,391.964,0.000,0.072
19000,0.5361,-0.0233,4,0.9000,375.46,1704,9.99,0.01,5,2800,838,838,4164,0.0000,392.044,0.173,0.070
19500,0.5507,-0.0384,4,0.9000,375.44,1702,10.00,0.00,0,2800,838,838,4269,0.0000,391.899,0.000,0.068
20000,0.5868,-0.0287,4,0.9000,375.55,1701,9.99,0.00,0,2800,838,838,4376,0.0000,391.973,0.000,0.066
20500,0.5262,-0.0499,4,0.9000,375.50,1700,9.99,0.01,5,2800,838,838,4482,0.0000,391.902,0.173,0.065
