trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
5000,0.7529,0.3779,15,0.6250,66.30,355,9.97,0.00,0,2800,412,412,67
10000,0.6440,0.2596,15,0.6250,66.44,364,9.94,0.01,6,2800,419,419,151
15000,0.5046,0.1559,15,0.6250,66.25,363,9.96,0.01,6,2800,420,420,220
20000,0.5691,0.2128,15,0.6250,66.27,361,9.97,0.00,0,2800,423,423,276
25000,0.6435,0.1688,15,0.6250,66.34,360,9.96,0.01,6,2800,424,424,341
30000,0.6884,0.3354,15,0.6250,66.28,358,9.97,0.01,6,2800,426,426,442
35000,0.5624,0.1802,15,0.6250,66.24,357,9.96,0.03,6,2800,427,427,509
40000,0.5084,0.1457,15,0.6250,66.18,355,9.96,0.01,6,2800,427,427,585
45000,0.6985,0.2574,15,0.6250,66.33,363,9.96,0.00,0,2800,428,428,652
50000,0.5608,0.2084,15,0.6250,66.44,362,9.96,0.01,6,2800,428,428,734
55000,0.5849,0.1827,15,0.6250,66.44,360,9.95,0.03,6,2800,429,429,803
60000,0.5489,0.1697,15,0.6250,66.17,359,9.97,0.01,6,2800,429,429,871
65000,0.6869,0.2263,15,0.6250,66.41,358,9.94,0.01,6,2800,430,430,940
70000,0.5513,0.1858,15,0.6250,66.26,356,9.97,0.00,0,2800,431,431,1020
75000,0.5773,0.3991,15,0.6250,66.28,355,9.96,0.01,6,2800,431,431,1087
80000,0.6443,0.2456,15,0.6250,66.30,364,9.97,0.00,0,2800,431,431,1136
85000,0.5273,0.1755,15,0.6250,66.24,362,9.97,0.01,6,2800,431,431,1195
90000,0.6169,0.1425,15,0.6250,66.41,360,9.95,0.00,0,2800,431,431,1259
95000,0.6352,0.1814,15,0.6250,66.09,359,9.97,0.01,6,2800,431,431,1346
100000,0.6812,0.3430,15,0.6250,66.21,358,9.96,0.01,6,2800,432,432,1411
105000,0.7831,0.4170,15,0.6250,66.29,356,9.96,0.03,6,2800,433,433,1475
110000,0.6259,0.2136,15,0.6250,66.26,355,9.96,0.00,0,2800,434,434,1547
115000,0.5082,0.2860,15,0.6250,66.37,363,9.96,0.00,0,2800,434,434,1609
120000,0.6683,0.3267,15,0.6250,66.32,362,9.96,0.01,6,2800,435,435,1683
125000,0.7490,0.2794,15,0.6250,66.31,360,9.96,0.00,0,2800,435,435,1734
130000,0.6597,0.3591,15,0.6250,66.27,359,9.97,0.01,6,2800,435,435,1802
135000,0.7976,0.2819,15,0.6250,66.40,358,9.95,0.01,5,2800,435,435,1847
140000,0.5748,0.1554,15,0.6250,66.23,357,9.95,0.03,6,2800,436,436,1914
145000,0.7019,0.2231,15,0.6250,66.12,355,9.97,0.01,6,2800,436,436,1982
150000,0.5076,0.2684,15,0.6250,66.38,364,9.96,0.01,6,2800,437,437,2056
155000,0.5036,0.1411,15,0.6250,66.38,363,9.95,0.01,6,2800,437,437,2127
160000,0.5932,0.3141,15,0.6250,66.32,361,9.97,0.01,6,2800,439,439,2182
