trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,total_syn,axons_grown,axons_pruned,sparsity
500,0.9867,0.4752,9,0.7000,61.66,320,9.89,4.48,100,22648,22648,1248,0,1.0000
1000,1.0000,0.4747,9,0.7000,61.64,320,9.88,4.44,100,22648,22648,1248,0,1.0000
1500,1.0000,0.4747,9,0.7000,61.63,320,9.89,4.45,100,19018,22648,1248,3630,0.8397
2000,1.0000,0.4747,9,0.7000,61.61,320,9.89,4.45,100,9114,22648,1248,13534,0.4024
2500,1.0000,0.4747,9,0.7000,61.60,320,9.87,4.45,100,9051,22649,1249,13598,0.3996
3000,1.0000,0.4747,9,0.7000,61.61,320,9.87,4.45,100,8928,22649,1249,13721,0.3942
3500,1.0000,0.4747,9,0.7000,61.61,320,9.87,4.46,100,8928,22649,1249,13721,0.3942
4000,1.0000,0.4747,9,0.7000,61.53,320,9.87,4.45,100,8928,22649,1249,13721,0.3942
4500,1.0000,0.4747,9,0.7000,61.60,320,9.87,4.46,100,8928,22649,1249,13721,0.3942
5000,1.0000,0.4747,9,0.7000,61.64,320,9.86,4.46,100,8928,22649,1249,13721,0.3942
