trial,within,selectivity,active,silent_ratio,entropy_mean,enthalpy_mean,conductance_mean,open_syn,total_syn,axons_grown,axons_pruned,sparsity
500,1.0000,0.3530,7,0.7667,57.07,9.78,1.57,9177,9177,300,0,1.0000
1000,1.0000,0.3530,7,0.7667,57.07,9.78,1.57,9177,9177,300,0,1.0000
1500,1.0000,0.3530,7,0.7667,57.09,9.78,1.57,6752,9177,300,2425,0.7358
2000,1.0000,0.3530,7,0.7667,57.06,9.79,1.57,3806,9177,300,5371,0.4147
2500,1.0000,0.3530,7,0.7667,57.04,9.79,1.57,3766,9177,300,5411,0.4104
3000,1.0000,0.3530,7,0.7667,57.06,9.78,1.51,3766,9177,300,5411,0.4104
3500,1.0000,0.3530,7,0.7667,57.06,9.78,1.51,3746,9177,300,5431,0.4082
4000,1.0000,0.3530,7,0.7667,57.05,9.78,1.51,3746,9177,300,5431,0.4082
4500,1.0000,0.3530,7,0.7667,57.05,9.78,1.51,3746,9177,300,5431,0.4082
5000,1.0000,0.3530,7,0.7667,57.05,9.78,1.51,3746,9177,300,5431,0.4082
